base,intersect to,T,det,signature,matrix
3,18,12,-100,1,-2 1 0 0 0 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 0 0 1 -1 1 1 1;0 0 0 0 0 0 0 0 0 1 -10 0 -8;0 0 0 0 0 0 0 0 0 1 0 -1 1;0 0 0 0 0 0 0 0 0 1 -8 1 -2
3,19,13,121,1,-2 1 0 0 0 0 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0 0 0 0;0 0 0 0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 0 0 0 1 -1 1 1 1;0 0 0 0 0 0 0 0 0 0 1 -11 0 -9;0 0 0 0 0 0 0 0 0 0 1 0 -1 1;0 0 0 0 0 0 0 0 0 0 1 -9 1 -3
3,20,14,-144,1,-2 1 0 0 0 0 0 0 0 0 0 0 0 0 0;1 -2 1 0 0 0 0 0 0 0 0 0 0 0 0;0 1 -2 1 0 0 0 0 0 0 0 0 0 0 0;0 0 1 -2 1 0 0 0 0 0 0 0 0 0 0;0 0 0 1 -2 1 0 0 0 0 0 0 0 0 0;0 0 0 0 1 -2 1 0 0 0 0 0 0 0 0;0 0 0 0 0 1 -2 1 0 0 0 0 0 0 0;0 0 0 0 0 0 1 -2 1 0 0 0 0 0 0;0 0 0 0 0 0 0 1 -2 1 0 0 0 0 0;0 0 0 0 0 0 0 0 1 -2 1 0 0 0 0;0 0 0 0 0 0 0 0 0 1 -2 1 0 0 0;0 0 0 0 0 0 0 0 0 0 1 -1 1 1 1;0 0 0 0 0 0 0 0 0 0 0 1 -12 0 -10;0 0 0 0 0 0 0 0 0 0 0 1 0 -1 1;0 0 0 0 0 0 0 0 0 0 0 1 -10 1 -4
3,21,2,-1,1,0 1 2;1 -1 1;2 1 8
4,1,10,-1,1,0 1 0 0 0 0 0 0 0 1 2;1 -1 1 0 0 0 0 0 0 0 1;0 1 -3 1 0 0 0 0 0 0 -1;0 0 1 -1 1 0 0 0 0 0 1;0 0 0 1 -4 1 0 0 0 0 -2;0 0 0 0 1 -1 1 0 0 0 1;0 0 0 0 0 1 -3 1 0 0 -1;0 0 0 0 0 0 1 -1 1 0 1;0 0 0 0 0 0 0 1 -6 0 -4;1 0 0 0 0 0 0 0 0 -1 1;2 1 -1 1 -2 1 -1 1 -4 1 0
4,21,4,-1,1,0 1 0 0 2;1 -2 1 0 0;0 1 -2 1 0;0 0 1 -1 1;2 0 0 1 6
5,1,3,1,1,-1 1 1 1;1 0 0 2;1 0 -1 1;1 2 1 7
5,3,3,4,1,-3 1 0 -1;1 0 1 2;0 1 -1 1;-1 2 1 7
5,4,6,-25,1,-3 1 0 0 0 0 -1;1 -3 1 0 0 0 -1;0 1 -1 1 0 1 1;0 0 1 -2 1 0 0;0 0 0 1 -2 0 0;0 0 1 0 0 -1 1;-1 -1 1 0 0 1 4
7,8,4,-4,1,-4 1 0 0 -2;1 0 1 1 2;0 1 0 0 2;0 1 0 -1 1;-2 2 2 1 6
7,16,4,-4,1,0 1 0 0 2;1 -2 1 1 0;0 1 -4 0 -2;0 1 0 -1 1;2 0 -2 1 6
9,1,3,1,1,-2 1 1 0;1 0 0 2;1 0 -1 1;0 2 1 7
9,3,3,4,1,-3 1 0 -1;1 0 1 2;0 1 -1 1;-1 2 1 7
9,4,6,-25,1,-3 1 0 0 0 0 -1;1 -3 1 0 0 0 -1;0 1 -1 1 0 1 1;0 0 1 -2 1 0 0;0 0 0 1 -2 0 0;0 0 1 0 0 -1 1;-1 -1 1 0 0 1 4
10,1,10,-1,1,0 1 0 0 0 0 0 0 0 1 2;1 -1 1 0 0 0 0 0 0 0 1;0 1 -3 1 0 0 0 0 0 0 -1;0 0 1 -1 1 0 0 0 0 0 1;0 0 0 1 -4 1 0 0 0 0 -2;0 0 0 0 1 -1 1 0 0 0 1;0 0 0 0 0 1 -3 1 0 0 -1;0 0 0 0 0 0 1 -1 1 0 1;0 0 0 0 0 0 0 1 -6 0 -4;1 0 0 0 0 0 0 0 0 -1 1;2 1 -1 1 -2 1 -1 1 -4 1 0
10,24,4,-1,1,0 1 0 0 2;1 -2 1 0 0;0 1 -2 1 0;0 0 1 -1 1;2 0 0 1 6
13,1,6,-9,1,0 1 0 0 0 1 2;1 -1 1 0 0 0 1;0 1 -2 1 0 0 0;0 0 1 -1 1 0 1;0 0 0 1 -12 0 -10;1 0 0 0 0 -1 1;2 1 0 1 -10 1 4
13,25,4,-9,1,0 1 0 0 2;1 -1 1 0 1;0 1 -10 1 -8;0 0 1 -1 1;2 1 -8 1 6
14,1,5,4,1,0 1 0 0 1 2;1 -1 1 0 0 1;0 1 -1 1 0 1;0 0 1 -6 0 -4;1 0 0 0 -1 1;2 1 1 -4 1 5
